#Source    , H2S       , e_H2S     , H233S     , e_H233S   , OCS       , e_OCS     , OC33S     , e_OC33S   , OC34S     , e_OC34S
B1-bN      , 1.540e+15 , 1.315e+14 , 2.720e+13 , 2.322e+12 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
B1-bS      , 2.659e+16 , 8.175e+14 , 5.275e+13 , 6.488e+12 , 2.888e+15 , 1.126e+15 , 5.099e+13 , 3.539e+12 , 1.283e+14 , 5.004e+13 
B5-IRS1    , 5.040e+14 , 1.265e+14 , 0.000e+00 , 0.000e+00 , <7.154e+13 , nan      , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
HH211      , 2.101e+14 , 1.660e+13 , 0.000e+00 , 0.000e+00 , 1.596e+15 , 8.749e+14 , 1.831e+13 , 3.005e+06 , 7.095e+13 , 3.888e+13 
IC348MMS   , 2.936e+16 , 5.401e+13 , 5.826e+13 , 4.286e+11 , 1.965e+15 , 3.050e+14 , 1.738e+13 , 2.959e+12 , 8.735e+13 , 1.355e+13 
IRAS2A     , 5.687e+16 , 3.308e+15 , 1.128e+14 , 2.625e+13 , 1.845e+16 , 1.163e+16 , 1.359e+14 , 1.095e+13 , 8.198e+14 , 5.169e+14 
IRAS2B     , 1.029e+14 , 1.524e+13 , 0.000e+00 , 0.000e+00 , 1.058e+14 , 2.137e+13 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
IRAS4B     , 2.060e+17 , 3.357e+13 , 4.087e+14 , 2.664e+11 , 1.437e+16 , 3.944e+15 , 1.520e+14 , 5.483e+12 , 6.389e+14 , 1.753e+14 
IRAS4C     , 1.154e+14 , 1.260e+13 , 0.000e+00 , 0.000e+00 , 3.886e+13 , 1.375e+13 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
L1448-IRS3A, 2.183e+14 , 4.559e+13 , 0.000e+00 , 0.000e+00 , 2.169e+15 , 1.162e+15 , 2.360e+13 , 3.412e+06 , 9.640e+13 , 5.166e+13 
L1448-IRS3B, 2.705e+14 , 1.208e+13 , 0.000e+00 , 0.000e+00 , 1.609e+15 , 7.601e+14 , 8.040e+12 , 1.991e+06 , 7.152e+13 , 3.378e+13 
L1448C     , 1.309e+15 , 2.690e+13 , 0.000e+00 , 0.000e+00 , 3.823e+15 , 3.689e+15 , 2.965e+13 , 7.254e+12 , 1.699e+14 , 1.640e+14 
L1448NW    , 9.612e+13 , 2.632e+13 , 0.000e+00 , 0.000e+00 , <3.426e+13 , nan      , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
Per-emb-02 , 3.004e+14 , 1.463e+13 , 0.000e+00 , 0.000e+00 , 2.785e+13 , 1.107e+13 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
Per-emb-05 , 1.483e+14 , 1.108e+13 , 0.000e+00 , 0.000e+00 , 1.915e+15 , 5.768e+14 , 6.949e+12 , 2.277e+12 , 8.509e+13 , 2.564e+13 
Per-emb-08 , 1.164e+14 , 2.988e+13 , 0.000e+00 , 0.000e+00 , <2.923e+13 , nan      , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
Per-emb-18 , 2.768e+14 , 1.333e+13 , 0.000e+00 , 0.000e+00 , 3.645e+15 , 5.522e+14 , 2.348e+13 , 4.814e+12 , 1.620e+14 , 2.454e+13 
Per-emb-22 , 3.787e+14 , 1.314e+13 , 0.000e+00 , 0.000e+00 , 2.366e+14 , 1.515e+13 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
Per-emb-29 , 5.364e+16 , 8.786e+14 , 1.064e+14 , 6.973e+12 , 4.510e+15 , 2.033e+15 , 5.763e+13 , 5.636e+12 , 2.004e+14 , 9.036e+13 
Per-emb-30 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
Per-emb-50 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
Per-emb-62 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 
SVS13A     , 1.482e+17 , 9.884e+15 , 2.940e+14 , 7.844e+13 , 4.329e+16 , 2.702e+16 , 3.910e+14 , 2.622e+13 , 1.924e+15 , 1.201e+15 
SVS13B     , 2.676e+14 , 1.940e+13 , 0.000e+00 , 0.000e+00 , 1.387e+15 , 6.376e+14 , 1.964e+13 , 3.112e+06 , 6.163e+13 , 2.834e+13 
